No.	EnrNo	Verify	InOut	DateTime
81	1	FACE	( 1 )&( Open door )&( In )	2025/08/08 08:55:38
82	3	FP	( 1 )&( Open door )&( In )	2025/08/08 09:11:33
83	29	FP	( 1 )&( Open door )&( In )	2025/08/08 09:13:48
84	6	FP	( 1 )&( Open door )&( In )	2025/08/08 09:16:23
85	53	FP	( 1 )&( Open door )&( In )	2025/08/08 09:17:24
86	58	FP	( 1 )&( Open door )&( In )	2025/08/08 09:17:30
87	47	FP	( 1 )&( Open door )&( In )	2025/08/08 09:22:31
88	11	FP	( 1 )&( Open door )&( In )	2025/08/08 09:22:36
89	7	FP	( 1 )&( Open door )&( In )	2025/08/08 09:26:44
90	5	FP	( 1 )&( Open door )&( In )	2025/08/08 09:26:47
91	13	FP	( 1 )&( Open door )&( In )	2025/08/08 09:27:50
92	30	FACE	( 1 )&( Open door )&( In )	2025/08/08 09:38:01
93	23	FACE	( 1 )&( Open door )&( In )	2025/08/08 09:39:42
94	41	FP	( 1 )&( Open door )&( In )	2025/08/08 09:51:17
95	14	FACE	( 1 )&( Open door )&( In )	2025/08/08 09:53:45
96	50	FP	( 1 )&( Open door )&( In )	2025/08/08 09:53:49
97	43	FP	( 1 )&( Open door )&( In )	2025/08/08 09:56:16
98	31	FACE	( 1 )&( Open door )&( In )	2025/08/08 09:58:51
99	26	FACE	( 1 )&( Open door )&( In )	2025/08/08 10:02:51
100	28	FP	( 1 )&( Open door )&( In )	2025/08/08 10:03:12
101	36	FP	( 1 )&( Open door )&( In )	2025/08/08 10:03:15
102	45	FP	( 1 )&( Open door )&( In )	2025/08/08 10:07:25
103	32	FP	( 1 )&( Open door )&( In )	2025/08/08 10:10:18
104	39	FP	( 1 )&( Open door )&( In )	2025/08/08 10:10:30
105	12	FP	( 1 )&( Open door )&( In )	2025/08/08 10:10:46
106	16	FP	( 1 )&( Open door )&( In )	2025/08/08 10:14:20
107	52	FP	( 1 )&( Open door )&( In )	2025/08/08 10:16:13
108	33	FP	( 1 )&( Open door )&( In )	2025/08/08 10:21:16
109	46	FP	( 1 )&( Open door )&( In )	2025/08/08 10:34:06
110	44	FACE	( 1 )&( Open door )&( In )	2025/08/08 10:52:20
111	39	FP	( 1 )&( Open door )&( In )	2025/08/08 14:02:45
112	6	FP	( 1 )&( Open door )&( In )	2025/08/08 14:16:04
